Test,Status,Cycles
add_1,pass,18
add_2,pass,18
add_3,pass,18
add_4,pass,18
add_5,pass,18
add_6,pass,18
add_7,pass,18
add_8,pass,18
and_1,pass,18
and_2,pass,18
and_3,pass,18
and_4,pass,18
and_5,pass,18
and_6,pass,18
and_7,pass,18
and_8,pass,18
clz_1,compilation failed,
clz_2,compilation failed,
clz_3,compilation failed,
clz_4,compilation failed,
clz_5,compilation failed,
clz_6,compilation failed,
clz_7,compilation failed,
clz_8,compilation failed,
ctz_1,compilation failed,
ctz_2,compilation failed,
ctz_3,compilation failed,
ctz_4,compilation failed,
ctz_5,compilation failed,
ctz_6,compilation failed,
div_s_1,pass,27
div_s_10,runtime error,
div_s_11,pass,27
div_s_12,runtime error,
div_s_13,runtime error,
div_s_14,runtime error,
div_s_15,pass,27
div_s_16,pass,27
div_s_2,pass,27
div_s_3,pass,27
div_s_4,pass,27
div_s_5,runtime error,
div_s_6,runtime error,
div_s_7,pass,27
div_s_8,runtime error,
div_s_9,runtime error,
div_u_1,pass,27
div_u_10,pass,27
div_u_11,pass,27
div_u_12,pass,27
div_u_13,pass,27
div_u_14,pass,27
div_u_2,pass,27
div_u_3,pass,27
div_u_4,pass,27
div_u_5,pass,27
div_u_6,pass,27
div_u_7,pass,27
div_u_8,pass,27
div_u_9,pass,27
eq_1,pass,22
eq_10,pass,22
eq_11,pass,22
eq_12,pass,22
eq_13,pass,22
eq_14,pass,22
eq_2,pass,22
eq_3,pass,22
eq_4,pass,22
eq_5,pass,22
eq_6,pass,22
eq_7,pass,22
eq_8,pass,22
eq_9,pass,22
eqz_1,pass,22
eqz_2,pass,22
eqz_3,pass,22
eqz_4,pass,22
eqz_5,pass,22
extend16_s_1,pass,16
extend16_s_2,pass,16
extend16_s_3,runtime error,
extend16_s_4,runtime error,
extend16_s_5,runtime error,
extend16_s_6,runtime error,
extend16_s_7,pass,16
extend32_s_1,pass,16
extend32_s_10,pass,16
extend32_s_2,pass,16
extend32_s_3,pass,16
extend32_s_4,pass,16
extend32_s_5,pass,16
extend32_s_6,runtime error,
