Test,Status,Cycles
rem_s_9,pass,43
rem_u_1,compilation failed,
rem_u_10,compilation failed,
rem_u_11,compilation failed,
rem_u_12,compilation failed,
rem_u_13,compilation failed,
rem_u_14,compilation failed,
rem_u_2,compilation failed,
rem_u_3,compilation failed,
rem_u_4,compilation failed,
rem_u_5,compilation failed,
rem_u_6,compilation failed,
rem_u_7,compilation failed,
rem_u_8,compilation failed,
rem_u_9,compilation failed,
rotl_1,compilation failed,
rotl_10,compilation failed,
rotl_11,compilation failed,
rotl_12,compilation failed,
rotl_13,compilation failed,
rotl_2,compilation failed,
rotl_3,compilation failed,
rotl_4,compilation failed,
rotl_5,compilation failed,
rotl_6,compilation failed,
rotl_7,compilation failed,
rotl_8,compilation failed,
rotl_9,compilation failed,
rotr_1,compilation failed,
rotr_10,compilation failed,
rotr_11,compilation failed,
rotr_12,compilation failed,
rotr_13,compilation failed,
rotr_2,compilation failed,
rotr_3,compilation failed,
rotr_4,compilation failed,
rotr_5,compilation failed,
rotr_6,compilation failed,
rotr_7,compilation failed,
rotr_8,compilation failed,
rotr_9,compilation failed,
shl_1,pass,44
shl_10,pass,44
shl_11,pass,44
shl_2,pass,44
shl_3,pass,44
shl_4,pass,44
shl_5,pass,44
shl_6,pass,44
shl_7,pass,44
shl_8,pass,44
shl_9,pass,44
shr_s_1,runtime error,
shr_s_10,runtime error,
shr_s_11,runtime error,
shr_s_12,runtime error,
shr_s_13,runtime error,
shr_s_14,runtime error,
shr_s_15,runtime error,
shr_s_16,runtime error,
shr_s_17,runtime error,
shr_s_2,runtime error,
shr_s_3,runtime error,
shr_s_4,runtime error,
shr_s_5,runtime error,
shr_s_6,runtime error,
shr_s_7,runtime error,
shr_s_8,runtime error,
shr_s_9,runtime error,
shr_u_1,runtime error,
shr_u_10,runtime error,
shr_u_11,runtime error,
shr_u_12,runtime error,
shr_u_13,runtime error,
shr_u_14,runtime error,
shr_u_15,runtime error,
shr_u_16,runtime error,
shr_u_17,runtime error,
shr_u_2,runtime error,
shr_u_3,runtime error,
shr_u_4,runtime error,
shr_u_5,runtime error,
shr_u_6,runtime error,
shr_u_7,runtime error,
shr_u_8,runtime error,
shr_u_9,runtime error,
sub_1,runtime error,
sub_2,runtime error,
sub_3,runtime error,
sub_4,runtime error,
sub_5,runtime error,
sub_6,runtime error,
sub_7,runtime error,
xor_1,pass,17
xor_10,pass,17
xor_2,pass,17
xor_3,pass,17
xor_4,pass,17
xor_5,pass,17
xor_6,pass,17
xor_7,pass,17
xor_8,pass,17
xor_9,pass,17
